publishers,unique_books
Adam of Rottweil,1
"Aich, Arnd von",1
"Alantsee, Lukas",1
"Alvares, António",2
Anonymous_SineLoco_1598_S,1
Anonymous_SineLoco_[1526]_S,1
"Apianus, Petrus",1
"Arrivabene, Andrea",1
"Baligault, Félix",1
"Baquelier, Pierre",1
"Barreira, Antonio de",1
"Basa, Bernardo",1
"Basa, Domenico",1
"Basa, Isabetta",1
"Bascarini, Niccolò",2
"Belfortis, Andreas",1
"Bellère I., Pierre",1
"Bellère, Jean",2
"Bevilacqua, Niccolò",1
"Bevilacqua, Simone",1
"Bindoni I., Francesco",1
"Bishop, George",2
"Blado, Antonio",1
"Bois, Simon du",1
"Braubach, Peter",9
Brothers Gabiano,2
"Béraud, Symphorien",3
"Caillaut, Antoine",1
"Cammerlander, Jacob",2
"Castañeda, Rodrigo de",1
"Cavellat, Guillaume",18
"Cesano, Bartolomeo",1
"Channey, Johan de",1
"Chaudière, Regnault",6
"Cholinus, Goswin",3
"Cholinus, Maternus",3
"Cholinus, Peter",1
"Ciotti, Giovanni Battista",3
"Colines, Simon de",6
Company Anton Schöne & Clemens Schleich,1
Company Astley Hugh & Richard Watkins,1
Company Bonaventura Elsevier & Abraham Elsevier,4
Company Brothers de Marnef,1
Company Filippo Giunta & Jacopo Giunta,1
Company Francesco Bindoni I & Maffeo Pasini,2
Company Francesco Brucioli & brothers,1
Company Francesco Zanetti & Domenico Basa,1
Company Giovanni Varisco & Paganino Paganini,1
Company Giovanni Varisco & compagni,5
Company Guillaume Cavellat & Jérôme de Marnef,4
Company Heirs of Arnold Birckmann,2
Company Heirs of Girolamo Scoto,3
Company Heirs of Heinrich Quentell,4
Company Heirs of Jacopo Giunta,2
Company Heirs of Melchiorre Sessa I.,7
Company Heirs of Ottaviano Scoto I.,1
Company Heirs of Peter Braubach,1
Company Heirs of Peter I. Seitz,4
Company Heirs of Samuel Selfisch,2
Company Jan Moretus & Widow of Christophe Plantin (Jeanne Plantin),1
Company Johann Wechel & Peter Fischer,1
Company Johannes Lucilius Santritter & Girolamo de Sanctis,1
Company Jérôme de Marnef & Widow of Guillaume Cavellat (Denise de Marnef),3
Company Valerio Meda & brothers,1
Company Widow & heirs of Zacharias I. Schürer,1
Company Zacharias Schürer & partners,1
"Corcuera, Pedro de",1
"Crispin, Samuel",4
"Cromberger, Juan",1
"Denise Cavellat, Widow of Arnold Sittart",1
"Eguia, Miguel de",1
"Eliano, Vittorio",1
"Estienne I., Henri",3
"Flach I., Martin",1
"Franceschi, Francesco de",2
"Fuscus, Dominicus",1
"Gabiano, Jean de",2
"Gaillard, German",2
"Gazeau, Hugues",1
"Gelli, Giovanni Paolo",2
"Ghemart, Adrián",1
"Giunta, Giuntino",1
"Giunta, Jacopo",1
"Giunta, Lucantonio",2
"Gronenberg, Simon",1
"Grosse, Henning II.",3
"Grothe, Konrad",2
"Gutknecht, Jobst",1
"Guyot, Claude",1
"Haller, Jan",2
"Harnisch, Matthäus",2
"Harrison, John",1
Heir of Giovanni Varisco  (Giorgio Varisco),1
"Herrera, Juan de",1
"Hierat, Anton I.",1
"Hopyl, Wolfgang",3
"Hänlin, Gregor",1
"Jacquin, Julien I.",1
"Jaggard, William",1
"Jugge, Richard",2
"Junta, Juan de",1
"Kachelofen, Konrad",2
"Kempen, Hermann von",1
"Klug, Joseph",5
"Knobloch I, Johann",1
"Krafft the Elder, Johann",17
"Krafft, Johann",4
"Kreutzer, Veit",2
"Landsberg, Martin",10
"Lavagna, Filippo da",1
"León, Juan de",2
"Loe, Jan vander",1
"Loys, Jean",2
"Lufft, Hans",1
"Marchant, Guy",1
"Marchetti, Silvestro",1
"Marschall, Peter",1
"Martín Redondo, Santiago",1
"Mittelhus, Georges",1
"Percacino, Grazioso",4
"Perna, Pietro",1
"Petit I., Jean",3
"Petri, Heinrich",1
"Pierre de Tour, Jean",1
"Pietro, Filippo di",1
"Pillehotte, Antoine",1
"Plantin, Christophe",6
"Ponte, Gottardo da",1
"Quentell, Heinrich",3
"Quesnel, Jacques",2
"Rampazetto, Francesco",2
"Rastelli, Giovanni Bernardino",1
"Ratdolt, Erhard",2
"Renner, Franz",1
"Ricardo, Antonio",1
"Richard, Guillaume",1
"Richard, Jean",8
"Richard, Thomas",1
"Rigaud, Pierre",1
"Rosa, Jonas",1
"Rubiera, Giustiniano da",1
"Salviani, Baldo",1
"Scoto I., Ottaviano",2
"Scoto, Girolamo",2
"Seelfisch, Samuel",3
"Seitz, Peter I.",1
"Sessa I., Giovanni Battista",2
"Sessa I., Melchiorre",12
"Spirinx, Nicolas",1
"Stöckel, Wolfgang",3
"Sylvius, Willem",2
"Taberniel, Jacinto",1
"Tapp, John",3
"Tinghi, Philippe",4
"Torrentino, Lorenzo",1
"Trino, Guglielmo da",1
"Ungler, Florian",1
"Vascosan, Michel",5
"Vögelin, Ernst",1
"Waen, Jan",1
"Watkins, Richard",1
"Wechel, André",2
"Wechel, Johann",2
"Welack, Matthaeus",5
Widow of Guillaume Cavellat (Denise de Marnef),2
Widow of Richard Jugge (Joan Jugge),2
"Zanetti, Bartolomeo",1
"de Argentina, Florentinus",1
