part_id,part_type
100,100
240,other
291,adaption_100
310,other
311,influenced_100
101,other
102,other
105,other
103,other
104,other
107,other
108,other
329,adaption_100
109,other
110,other
231,adaption_100
125,other
346,adaption_100
137,other
138,other
270,adaption_100
111,other
130,other
229,adaption_100
153,other
154,other
258,other
259,adaption_100
322,adaption_100
156,other
157,other
417,adaption_100
158,other
159,other
160,other
167,other
226,adaption_100
901,other
126,other
131,other
132,other
134,other
140,other
141,other
142,other
143,other
144,other
145,other
146,other
147,other
148,other
149,other
150,other
277,other
280,other
296,adaption_100
412,adaption_100
429,adaption_100
430,other
432,adaption_100
951,other
161,other
162,other
343,adaption_100
168,other
261,adaption_100
176,other
177,other
178,other
179,other
180,other
268,adaption_100
203,other
204,other
206,other
434,other
183,other
184,other
185,other
221,other
377,other
888,adaption_100
241,other
242,other
933,adaption_100
220,other
225,other
932,adaption_100
230,other
269,other
420,other
232,other
238,other
239,other
227,other
314,other
315,influenced_100
191,other
192,influenced_100
193,other
194,other
195,other
196,other
197,other
198,other
199,other
300,other
301,other
410,adaption_100
908,other
254,other
267,adaption_100
212,adaption_100
250,other
251,influenced_100
252,other
253,other
415,other
423,adaption_100
433,other
936,adaption_100
187,other
188,other
189,other
190,other
233,influenced_100
321,other
368,influenced_100
272,adaption_100
334,other
335,other
336,other
337,other
338,other
339,other
340,other
341,other
902,other
937,adaption_100
276,adaption_100
313,adaption_100
323,other
324,other
325,other
326,other
327,other
332,other
938,adaption_100
342,other
360,other
419,adaption_100
935,adaption_100
939,adaption_100
295,adaption_100
358,other
380,other
382,other
602,other
273,adaption_100
287,adaption_100
428,adaption_100
573,other
574,other
200,other
260,adaption_100
555,other
556,other
557,other
558,other
559,other
560,other
561,influenced_100
903,other
181,other
422,other
532,other
533,other
534,other
535,other
536,other
537,other
538,other
539,other
540,other
541,other
542,influenced_100
544,other
543,other
244,other
245,other
246,other
247,other
248,other
249,other
363,other
219,other
418,adaption_100
266,adaption_100
605,other
228,other
274,adaption_100
135,other
136,other
265,other
425,adaption_100
116,other
117,other
120,other
121,other
201,other
202,other
411,adaption_100
118,other
119,other
381,other
383,other
6028,other
384,other
385,other
373,other
374,other
115,other
123,other
463,other
797,other
364,other
365,other
366,other
390,adaption_100
523,other
524,other
654,influenced_100
655,other
656,other
813,other
128,other
207,other
208,other
209,other
210,other
211,other
213,other
214,other
215,other
216,other
217,other
218,other
263,other
271,other
278,other
284,other
286,other
305,other
352,other
414,other
427,other
681,other
688,influenced_100
693,other
694,other
695,other
696,other
697,other
698,other
359,adaption_100
389,other
391,other
392,other
283,adaption_100
386,other
387,other
292,adaption_100
404,other
406,other
407,other
371,other
127,other
152,other
421,adaption_100
282,adaption_100
344,other
345,other
285,other
186,other
293,other
367,adaption_100
378,other
934,adaption_100
275,other
298,other
317,other
356,other
388,other
456,other
590,other
612,other
613,other
614,other
615,other
616,other
617,other
621,other
622,other
623,other
624,other
625,other
626,other
627,other
628,other
633,other
634,other
635,influenced_100
636,other
637,other
638,other
639,other
333,adaption_100
603,other
182,other
234,other
235,other
236,other
237,other
297,other
319,other
362,other
151,other
312,other
931,other
347,other
351,other
405,other
413,other
416,other
431,other
316,adaption_100
607,other
608,other
609,other
610,other
106,other
576,other
577,other
578,influenced_100
579,other
580,other
581,other
582,other
583,other
584,other
585,other
586,other
587,other
588,other
589,other
591,other
593,other
594,other
595,other
596,other
597,other
598,other
599,other
600,other
601,other
133,other
169,other
170,other
171,other
172,other
173,other
174,other
175,other
408,adaption_100
905,other
906,other
353,other
354,other
355,other
357,other
379,adaption_100
904,other
112,other
113,other
163,other
164,other
165,other
166,other
279,adaption_100
348,adaption_100
562,other
563,other
564,other
565,other
566,other
567,other
568,influenced_100
569,other
570,other
571,other
911,other
941,adaption_100
940,adaption_100
640,other
641,other
642,other
643,other
644,other
645,other
646,other
647,other
648,other
650,influenced_100
243,other
328,other
124,other
302,other
303,other
304,other
372,other
255,other
256,other
257,influenced_100
930,other
205,other
318,other
376,other
139,other
320,other
426,adaption_100
501,other
502,other
503,influenced_100
504,other
505,other
506,other
507,other
508,other
155,other
281,other
122,other
290,other
330,other
331,other
370,influenced_100
306,other
307,other
308,other
309,influenced_100
518,other
262,other
264,other
288,other
289,other
294,other
350,other
361,other
375,other
395,other
409,other
910,other
349,other
393,other
394,other
396,other
397,other
398,other
399,other
400,other
401,other
402,other
403,other
604,other
606,other
611,other
811,other
812,influenced_100
525,other
526,other
424,other
912,other
509,other
510,other
513,other
950,other
512,other
516,other
517,other
519,other
520,influenced_100
521,other
522,other
652,other
653,other
658,other
659,influenced_100
661,influenced_100
662,other
663,other
664,other
665,other
668,other
671,other
672,other
673,other
676,other
666,other
667,other
669,other
670,other
674,other
675,other
649,other
651,influenced_100
660,other
680,other
682,other
683,other
684,other
685,other
686,other
687,other
689,other
690,other
691,other
699,other
700,other
692,other
701,other
702,other
703,other
704,other
705,other
706,other
707,other
708,other
677,influenced_100
778,other
779,influenced_100
780,other
777,influenced_100
807,other
808,influenced_100
809,other
810,other
801,other
802,other
803,other
804,other
805,other
806,other
789,other
790,other
452,other
453,other
454,other
455,other
457,other
458,other
459,other
460,other
461,other
791,other
792,other
793,other
794,other
795,other
796,other
913,other
914,other
915,other
916,other
917,other
918,other
919,influenced_100
921,other
922,other
923,other
924,other
925,other
926,other
927,other
928,influenced_100
929,influenced_100
