tag,category
3D,Spatial effects
3D decoration,Other
3D decoration_fivezones,Other
3D main idea,Other
3D main point,Spatial effects
3D_fivezones,Other
3D_geo,Other
Multiple horizons,Other
ad absurdum,Ad Absurdum
advanced diagram,Other
armilary sphere handle,Other
circle general shape,Other
color,Other
color shadow,Spatial effects
cosmos or earth,Other
decorated,Other
"decorated or stars, tail, scales",Other
decoration,Decoration
decoration not faces,Decoration
decoration of earth and water,Other
decoration or face,Decoration
decorative faces,Decoration
decorative-info,Other
decortion not terraqueous,Other
deferant,Other
diagram,Diagram
diagram lines,Diagram
diagram_fivezones,Diagram
diagram_geo,Diagram
direction of map up side down,Other
disproportional decorative elements,Other
disproportional element,Other
double,Other
double image,Perspectives and motion
double image two perspectives,Perspectives and motion
double images,Perspectives and motion
double images like comics,Perspectives and motion
double lines for materiality effect,Spatial effects
earth and cosmos,Other
element and not full circle,Other
eliptic not round,Other
epicycle,Other
equant,Other
eye,Other
eye figure,Other
face,Decoration
face or figure,Decoration
faces,Decoration
figurative coin or other material object,Other
five zones,Other
full circle,Other
full sphere circle,Other
full terraqueous globe,Other
geometrical lines of sight,Sight Lines
human figure,Human figures
human figures,Human figures
human figures_fivezones,Other
human figures_geo,Other
land and water mixed but not full globe,Other
lathe machine,Other
lines conturing shadow,Spatial effects
lines for sight,Sight Lines
lines marking sight,Sight Lines
lines representing sight,Sight Lines
lines showing sight,Sight Lines
material,Other
material element,Other
material globe,Other
material globus,Other
material object,Other
material object (double lines),Other
material object figurative element,Other
material representation,Other
material scale,Other
mistake,Other
moon symbol or dragon points,Symbols
more climate zones or other additions of knowledge,Other
more than you element,Other
motion of the sun two dimensional rep curved line,Perspectives and motion
motion of the sun two dimensional rep straight line,Perspectives and motion
multiple circles,Other
multiple epicycles,Other
multiple moments,Perspectives and motion
multiple moments in one no,Perspectives and motion
multiple outer circles,Other
multiple perspectives,Perspectives and motion
multiple perspectives and or moments,Perspectives and motion
multiple positions of an element,Perspectives and motion
multiple positions on the epicycle or equant/ deferent,Other
multiple subjects sun and moon,Symbols
not full circle,Other
numbers,Other
oblique circles two dimensional projection,Other
other material representation,Other
oval shape,Other
perspective from earth,Perspectives and motion
picture with no full circle,Other
scale representation,Other
semi circle,Other
seven climes,Other
sign symbol,Symbols
sign symbols,Symbols
signs symbols,Symbols
simple,Other
small circles representing mutual three dimensional motion,Other
table-like,Other
tabular illustration,Other
terraqueous globe,Other
terraqueous globe_fivezones,Other
three-dimensionality effect,Spatial effects
time,Perspectives and motion
two circle two dimensional projection,Other
type a,Other
type b,Other
type c,Other
type other,Other
writing within the image,Other
