place,unique_printers,unique_publishers
Alcalá de Henares,1,1
Antwerp,10,8
Avignon,1,1
Basel,2,2
Bologna,2,2
Coimbra,1,1
Cologne,7,7
Dijon,2,2
Dillingen an der Donau,1,1
Ferrara,1,1
Florence,2,3
Frankfurt (Main),7,7
Geneva,1,1
Heidelberg,1,1
Ingolstadt,1,1
Kraków,2,2
Leiden,1,1
Leipzig,6,5
Lemgo,1,1
Leuven,1,1
Lisbon,2,2
London,9,8
Lyon,10,8
Madrid,2,2
Mainz,1,1
Mexico City,1,1
Milan,3,3
Neustadt an der Weinstraße,1,1
Nuremberg,1,1
Padua,1,1
Paris,25,24
Perugia,1,2
Rome,5,5
Saint Gervais,1,1
Salamanca,3,3
Seville,3,3
Siena,1,1
Sine loco,2,2
Strasbourg,4,4
Valladolid,1,2
Venice,39,34
Vienna,1,1
Wittenberg,15,14
