Count,count
"המדרשה לאומנות, בית ברל המדרשה כתב עת לאמנות ולתרבות בית ברל",1
דעת: כתב-עת לפילוסופיה יהודית וקבלה,1
zmanim: a historical quarterly / זמנים: רבעון להיסטוריה,3
yod,1
wissensgeschichte der architektur,1
western medical thought from antiquity to the middle ages,1
vivarium,1
"visualizing medievel medicine and natural history, 1200–1500",2
"visualizing medieval medicine and natural history, 1200-1550",1
"vision and its instruments: art, science, and technology in early modern europe",1
viator (berkeley),1
university of pittsburgh press,1
undefined,1
"transmitting knowledge: words, images, and instruments in early modern europe",3
transactions of the royal historical society,4
transactions of the charles s. peirce society,1
transactions of the american philosophical society,2
traditio,2
topics in cognitive science,1
"thornton's medical books, libraries, and collectors: a study of bibliography and the book trade in relation to the medical sciences",1
the whipple museum of the history of science: instruments and interpretations,1
the whipple museum of the history of science,1
the teaching of astronomy,2
the structures of practical knowledge,2
the structure of knowledge: classifications of science and learning since the renaissance,1
the renaissance: six essays,2
the power of images in early modern science,2
the physics teacher,1
the philosophical review,1
the perception of pictures,2
the mit press,1
the medical renaissance of the sixteenth century,1
the lancet neurology,1
the journal of interdisciplinary history,1
the journal of economic history,1
the history of cartography,1
the dynamics of aristotelian natural philosophy from antiquity to the seventeenth century,1
the classical tradition,1
the cambridge history of science: volume 3: early modern science,2
the cambridge history of science,2
the british journal for the history of science,4
the body in balance: humoral medicines in practice,1
the american historical review,2
texts and contexts in ancient and medieval science. studies in occasion of john e. murdoch's seventieth birthday,1
tacuinum sanitatis,1
synthese,2
sudhoffs archiv; zeitschrift fur wissenschaftsgeschichte. beihefte,1
sudhoffs archiv,1
studies in the history of the exact sciences in honour of david pingree,1
studies in the history of art,2
studies in the history & philosophy of science,1
studies in iconography,1
studies in history and philosophy of science part c,1
studies in history and philosophy of science,3
studies in chronology and history,1
structure and dynamics,1
storia di ferrara,6
speculum,1
"social networks, political institutions, and rural societies",1
"sheets, diagrams, and realism in peirce",1
selected papers on medieval and renaissance astronomy,1
scriptorium,2
scienza antica in età moderna,2
"scientific, historical and political essays in honor of dirk j. struik",1
scientific visual representations in history,2
scientific reports,1
sciences et langues en europe,1
sciences and cultures: anthropological and historical studies of the sciences,1
sciences,1
"science, new series",1
"science, medicine, and history: essays on the evolution of scientific thought and medical practice written in honour of charles singer",1
science in the twentieth century,1
science in context,1
"science antique, science médiéval",1
science and the arts in the renaissance,2
science and history: studies in honor of edward rosen,1
science advances,2
science & education,1
schüler und meister,1
schweizerisches archiv für volkskunde,1
"sapientia astrologica: astrology, magic and natural knowledge, ca. 1250-1800: i. medieval structures (1250-1500): conceptual, institutional, socio-political, theologico-religious and cultural",5
routledge & crc press,1
revue d'histoire des sciences,1
review,1
researchgate,2
représentations et conceptions de l’espace dans la culture médiévale. repräsentationsformen und konzeptionen des raums in der kultur des mittelalters : colloque fribourgeois 2009. freiburger colloquium 2009,2
representations,2
renaissance quarterly,5
"renaissance and revolution. humanists, scholars, crafstmen and natural philosophers in early modern europe",1
regional cuisines of medieval europe: a book of essays,1
reading medieval culture. essays in honor of robert w. hanning,3
reading and writing,1
publishing sacrobosco’s de sphaera in early modern europe modes of material and scientific exchange,1
publications of the astronomical society of the pacific,1
ptolemy?s science of the stars in the middle ages,1
proceedings of the international conference on imaging theory and applications and international conference on information visualization theory and applications,1
proceedings of the international astronomical union,1
problems of education in the 21st century,1
premodern experience of the natural world in translation,1
pratiques de la culture écrite en france au xve siècle,1
picturing knowledge: historical and philosophical problems concerning the use of art in science,2
physics reports,1
philosophical readings,1
perspectives on science,1
peritia. journal of the medieval academy of ireland,1
"patronage and institutions: science, technology, and medicine at the european court, 1500-1750",1
par raison de nombre. l'art di calcul et les savoirs scientifiques médiévaux,1
paedagogica historica,2
osiris,4
nuncius,2
"ntm zeitschrift für geschichte der wissenschaften, technik und medizin",1
nouvelle revue du seizieme siecle,2
"normes et pouvoir à la fin du moyen âge: actes du colloque ""la recherche en études médiévales au québec et en ontario"", 16 - 17 mai 1989, montréal",1
new left review,2
new europe college ştefan odobleja program yearbook 2013–2014,1
natural particulars nature and the disciplines in renaissance europe,1
mélanges de l’école française de rome. italie et méditerranée,1
médiévales,1
monist,1
micrologus. il sole e la luna,1
micrologus,1
"medieval textual cultures: agents of transmission, translation and transformation",1
"medieval science, technology, and medicine: an encyclopedia",1
medieval latin: an introduction and bibliographical guide,1
medien der kommunikation im mittelalter,1
"matthias corvin, les bibliothèques princiéres et la genèse de l'etat moderne",1
material religion,1
marketfair shoppes,1
"manuscript studies (philadelphia, pa.)",2
l’art de la tradition. journées d'études de l'université de fribourg,1
le opere di galileo galilei,1
le monde des cartes: revue du comité français de cartographie,1
le livre dans l'europe de la renaissance: actes du xxviiie colloque international d'etudes humanistes de tours,1
"la réception des écrits italiens en france à la renaissance: ouvrages philosophiques, scientifiques et techniques: actes de la journée d'étude de paris, institut culturel italien, 8 novembre 1997",1
la bibliofilía,1
"l'enseignement des disciplines a la faculte des arts: paris et oxford, xiiie-xve siecles: actes du colloque international [organise a l'institut de france, paris, 18-20 mai 1995, par l'institut de recherche et d'histoire des textes",1
knowledge and the scholarly medical traditions,1
knoten und kanten iii. soziale netwerkanalyse in geschichts- und politikforschung,1
journal of the warburg and courtauld institutes,1
journal of the history of ideas,2
journal of scholarly publishing,2
journal of near eastern studies,1
journal of navigation,1
journal of historical network research,1
journal of economic history,1
journal of economic growth,1
journal of economic behavior and organization,1
journal of digital humanities,1
journal of complex networks,2
journal of communication,2
journal for the history of astronomy,20
jewish history,1
jahrbuch des vereins für augsburger bistumsgeschichte e.v,1
isis; an international review devoted to the history of science and its cultural influences,3
isis,9
irish astronomical journal,1
international journal of digital humanities,1
interdisciplinary science reviews,1
intellectual history review,3
information: a historical companion,1
information (basel),1
information,1
in proceedings of the first international conference on digital access to textual cultural heritage (datech '14),1
in hippocratis librum de veteri medicina,1
imago mundi,4
hypothèses,1
humanities and social sciences communications,2
host - journal of history of science and technology,2
horoscopes and public spheres. essays on the history of astrology,1
history of universities,2
history of science,3
history of education,1
histories,2
"health, disease and healing in medieval culture",1
gesta,1
gesnerus,1
geschichte und gesellschaft (göttingen),1
gedenken und rezeption: 100 jahre melanchthonhaus,1
galilaeana,1
erasmus studies,1
episteme,1
endeavour,2
encyclopedia of social networking,1
encyclopedia britannica,1
early science and medicine,17
divination et controverse religieuse en france au xvie siècle,1
digital scholarship in the humanities,3
digital humanities quarterly,1
digital humanities lab,1
die werkstatt des kartographen. materialien und praktiken visueller welterzeugung,1
"die philosophische werke des robert grosseteste, bischofs von lincoln",1
de sphaera of johannes de sacrobosco in the early modern period: the authors of the commentaries,4
de sphaera of johannes de sacrobosco in the early modern period : the authors of the commentaries,2
datenbank-spektrum,1
critical problems in the history of science,1
critical inquiry,3
copernicana,1
contemporary educational psychology,1
concilium medii aevi,1
computers in human behavior,1
computers & education,1
classica et medieavalia,1
change and continuity in early modern cosmology,1
central european history,1
centaurus,3
celestial influence - the major premiss of astrology,2
bulletin (british society for the history of mathematics),1
britannica.com,1
brill,1
books and the sciences in history,1
blockbücher des 15. jahrhunderts. eine experimentierphase im frühen buchdruck,1
bjhs themes,1
biological theory,1
bibliofilia,1
between demonstration and imagination: essays in the history of science and philosophy presented to john d. north,2
berlin university press,2
beiträge zur geschichte des buches und seiner funktion in der gesellschaft. festschrift für hans widmann zum 65. geburtstag,1
beiträge zur astronomiegeschichte,1
asian review of world histories,1
art journal,1
art history,1
art bulletin,1
archives des sciences et compte rendu seances de la societe,1
archives d'histoire doctrinale et litteraire du moyen age,2
archive for history of exact sciences,1
annals of science,4
"annales. histoire, sciences sociales",1
american psychologist,1
alternative welten in mittelalter und renaissance,1
aleph: historical studies in science and judaism,1
albion,1
abhandlungen zur geschichte der medizin und der naturwissenschaften,1
a companhia de jesus e a missionção no oriente,1
"360º · ciência descoberta, catálogo da exposição",1
"1543 and all that: image and word, change and continuity in the proto-scientific revolution",2
"""scholar from the west "". giuilio aleni s. j. (1582–1649) and the dialogue between christianity and china",1
